feature,mu_level,noise_arm,noise_level,sample_ratio,n,sigma,nsr,rho_all,p_all,rho_pos,p_pos,kw_H,kw_p,eps_sq,n_inversions,spread,p_all_bh,p_pos_bh,kw_p_bh,ranks_dose,monotone
barcode_mean_len,high,abs,70.0,0.4,50,8.3666,0.032269512177729005,0.45667623243662353,0.0008573438725021687,-0.04455323354299843,0.7848688299882403,30.93552941176469,3.155511693944371e-06,0.5985673202614376,2,4.966208195138802,0.0017258220810108592,0.8773173219820474,1.2704008118477338e-05,False,False
barcode_mean_len,high,abs,75.0,0.4,50,8.6603,0.03340229678875367,0.4919559413802254,0.00028505430756506,0.025182262437346937,0.8774200339160868,29.432470588235276,6.385115234806458e-06,0.5651660130718951,1,4.353374144247928,0.0006465866000865994,0.9368549156624119,2.2927247754324346e-05,False,False
barcode_mean_len,high,abs,80.0,0.4,50,8.9443,0.034497669037752685,0.5184157230879267,0.000115014907745181,0.06973549598034537,0.6689557215776891,31.510588235294108,2.408323146212151e-06,0.6113464052287579,2,5.015698510819742,0.00028909152487302254,0.8048238306174009,1.0564813801779719e-05,False,False
barcode_mean_len,high,abs,85.0,0.4,50,9.219499999999998,0.03555910017481087,0.5125357715973263,0.000141630797191752,0.050364524874693874,0.757604165263162,32.18729411764707,1.7516713277372422e-06,0.6263843137254904,2,4.4773641331607905,0.0003439076798650897,0.8634459236455155,8.104747934306644e-06,False,False
barcode_mean_len,high,abs,90.0,0.4,50,9.486800000000002,0.036590061450013096,0.42629648306852197,0.002022651360071371,-0.1142887295233438,0.4825477544896945,30.385882352941167,4.0842773073958456e-06,0.5863529411764704,2,4.386515818905353,0.0036104909114517757,0.6503904517035013,1.563118475670015e-05,False,False
barcode_mean_len,high,abs,95.0,0.4,50,9.7468,0.037592867030082605,0.46647615158762407,0.0006388796406339731,0.001937097110565149,0.9905350874780009,28.801882352941163,8.576260714985436e-06,0.5511529411764703,2,4.250906203946795,0.001362747857315585,0.9926698613734277,2.8650501838363882e-05,False,False
barcode_mean_len,high,abs,100.0,0.4,50,10.0,0.03856944538728875,0.4968559009557256,0.00024229169586892534,0.019370971105651492,0.9055614351251217,35.5444705882353,3.590312654173126e-07,0.7009882352941178,1,4.235106312522508,0.0005577506860349024,0.9559275081343509,2.5601495336387707e-06,False,False
barcode_mean_len,high,abs,0.0,0.5,50,0.0,0.0,0.17015119932684447,0.2374606793049412,-0.6159968811597174,2.3229932884292104e-05,31.115647992305817,2.899520275119607e-06,0.6025699553845737,3,9.385030820713387,0.27848478153038503,0.0015035738608438426,1.1931654229474489e-05,False,False
barcode_mean_len,high,abs,5.0,0.5,50,2.2361,0.008603157194750924,0.5154757473426266,0.00012769164762705358,0.06973549598034537,0.6689557215776891,30.869647058823517,3.2546654763119072e-06,0.5971032679738559,2,8.183114729654871,0.0003166752861150929,0.8048238306174009,1.3046719366250318e-05,False,False
barcode_mean_len,high,abs,10.0,0.5,50,3.1622999999999997,0.012166613298582733,0.5370355694748277,5.797856574902045e-05,0.10072904974938775,0.5362845273506927,33.42588235294116,9.771304585053145e-07,0.6539084967320258,2,8.220953204403687,0.0001540573318473972,0.697544909700901,5.087994622236177e-06,False,False
barcode_mean_len,high,abs,15.0,0.5,50,3.873,0.014900956046362117,0.5517354482013285,3.2789955118387836e-05,0.12784840929729985,0.4317629906820725,35.89364705882352,3.043196414740884e-07,0.7087477124183004,1,7.10208038502841,9.048860017834031e-05,0.6093165118882056,2.2823973110556632e-06,False,False
barcode_mean_len,high,abs,20.0,0.5,50,4.472100000000001,0.01720592965012549,0.6066149954469313,3.018573491611923e-06,0.23051455615725275,0.15242261252860864,35.1576470588235,4.311537347776981e-07,0.6923921568627445,2,6.727132182232959,1.0923242596105402e-05,0.302245265781676,2.8237533334032343e-06,False,False
barcode_mean_len,high,abs,25.0,0.5,50,5.0,0.019236968817921654,0.6085749792771313,2.749026683559734e-06,0.2402000417100785,0.13545264336345728,35.43905882352942,3.773992922701018e-07,0.6986457516339871,2,6.842806223520224,1.0105117848658311e-05,0.27808158571305797,2.614560522137653e-06,False,False
barcode_mean_len,high,abs,30.0,0.5,50,5.477199999999999,0.0210729451219041,0.6193548903432319,1.6247827313045228e-06,0.2750677897002512,0.0858277861381847,34.74823529411762,5.232666675045503e-07,0.6832941176470583,2,6.856894680474034,6.2699084652000256e-06,0.20572123997039118,3.2227682170810057e-06,False,False
barcode_mean_len,high,abs,35.0,0.5,50,5.916100000000001,0.02276156624474126,0.6144549307677317,2.0685194409311225e-06,0.25957101281573,0.10577593019137192,36.67952941176469,2.0969717261659214e-07,0.726211764705882,2,6.553661365799982,7.85193093904467e-06,0.23761259680670502,1.8430829491949894e-06,False,False
