feature,mu_level,noise_arm,noise_level,sample_ratio,n_pos,n_neg,sigma,nsr,n_nan_pos,n_nan_neg,auc,auc_se,auc_lo,auc_hi,p_raw,thresh_max_r0,thresh_mean2sd_r0,p_bh,detectable
barcode_mean_len,high,abs,25.0,0.5,40,10,5.0,0.019236968817921654,0,0,0.9925,0.019528774581448426,0.9542236018203611,1.0,9.40412128600105e-07,3.7585866110665456,3.8038589062372443,6.1159669901964865e-06,True
barcode_mean_len,high,abs,30.0,0.5,40,10,5.477199999999999,0.0210729451219041,0,0,0.975,0.0353207267702707,0.9057713755302694,1.0,2.152876113554094e-06,3.530091404914856,3.8109412467081065,8.172141982062479e-06,True
barcode_mean_len,high,abs,35.0,0.5,40,10,5.916100000000001,0.02276156624474126,0,0,0.9825,0.02967211382340579,0.9243426569061247,1.0,1.5147411749632373e-06,3.778262594471807,3.9030817962645394,6.93945464392025e-06,True
barcode_mean_len,high,abs,40.0,0.5,40,10,6.324599999999999,0.024333226597165466,0,0,0.9825,0.02967211382340579,0.9243426569061247,1.0,1.5147411749632373e-06,3.754046712602888,4.095263100797364,6.93945464392025e-06,True
barcode_mean_len,high,abs,45.0,0.5,40,10,6.708199999999998,0.025809086844876414,0,0,0.98,0.031677997785087585,0.9179111243412283,1.0,1.704032931269903e-06,4.621748694058122,4.710972963530094,7.170817312583755e-06,True
barcode_mean_len,high,abs,50.0,0.5,40,10,7.0711,0.027205306041681174,0,0,0.9975,0.011304532632817974,0.9753431160396768,1.0,7.38464879278088e-07,4.444662513732911,4.8143919612381705,6.1159669901964865e-06,True
barcode_mean_len,high,abs,55.0,0.5,40,10,7.416200000000001,0.028533041629494122,0,0,0.985,0.027507974990862768,0.9310843690179089,1.0,1.3457139554261416e-06,4.301745761524547,4.641711451251949,6.621767082255618e-06,True
barcode_mean_len,high,abs,60.0,0.5,40,10,7.746,0.029801912092724234,0,0,0.9975,0.011304532632817974,0.9753431160396768,1.0,7.38464879278088e-07,5.591052823596531,5.8912643589541895,6.1159669901964865e-06,True
barcode_mean_len,high,abs,65.0,0.5,40,10,8.0623,0.031018842740145956,0,0,0.9675,0.040105371991940766,0.8888934708957961,1.0,3.0442948627741216e-06,6.543202229908535,6.8328033832005115,1.0603723679325592e-05,True
barcode_mean_len,high,abs,70.0,0.5,40,10,8.3666,0.03218960466240467,0,0,0.9875,0.025144807945463806,0.938216176426891,1.0,1.1948706156750042e-06,5.481490005146373,5.684956962385796,6.4232929050737215e-06,True
barcode_mean_len,high,abs,75.0,0.5,40,10,8.6603,0.03331958421076939,0,0,0.995,0.015966145597504214,0.9637063546288918,1.0,8.335799989322588e-07,6.439041510872219,6.433266381567611,6.1159669901964865e-06,True
barcode_mean_len,high,abs,80.0,0.5,40,10,8.9443,0.03441224403962734,0,0,0.975,0.0353207267702707,0.9057713755302694,1.0,2.152876113554094e-06,6.335000317672203,6.35543223654947,8.172141982062479e-06,True
barcode_mean_len,high,abs,85.0,0.5,40,10,9.219499999999998,0.03547104680336575,0,0,0.985,0.027507974990862768,0.9310843690179089,1.0,1.3457139554261416e-06,5.361823385412043,5.795728857677162,6.621767082255618e-06,True
barcode_mean_len,high,abs,90.0,0.5,40,10,9.486800000000002,0.036499455156371846,0,0,0.98,0.031677997785087585,0.9179111243412283,1.0,1.704032931269903e-06,6.299277652393688,6.9112101253944225,7.170817312583755e-06,True
barcode_mean_len,high,abs,95.0,0.5,40,10,9.7468,0.037499777534903765,0,0,1.0,0.0,1.0,1.0,6.538314816033479e-07,6.201743618647257,6.095230072836552,6.1159669901964865e-06,True
barcode_mean_len,high,abs,100.0,0.5,40,10,10.0,0.03847393763584331,0,0,0.9925,0.019528774581448426,0.9542236018203611,1.0,9.40412128600105e-07,6.619017514315519,6.852701763224074,6.1159669901964865e-06,True
barcode_mean_len,high,abs,0.0,0.6,40,10,0.0,0.0,0,0,0.99875,0.007998714160738517,0.9830725202449525,1.0,6.928918733906197e-07,6.0,5.235042313800298,6.1159669901964865e-06,True
barcode_mean_len,high,abs,5.0,0.6,40,10,2.2361,0.00865947226469705,0,0,1.0,0.0,1.0,1.0,6.538314816033479e-07,1.7146498362223308,1.93738750298374,6.1159669901964865e-06,True
barcode_mean_len,high,abs,10.0,0.6,40,10,3.1622999999999997,0.012246254256362188,0,0,1.0,0.0,1.0,1.0,6.538314816033479e-07,2.2755093574523926,2.4203031935602346,6.1159669901964865e-06,True
barcode_mean_len,high,abs,15.0,0.6,40,10,3.873,0.014998495631309726,0,0,0.985,0.027507974990862768,0.9310843690179089,1.0,1.3457139554261416e-06,3.0522629130970347,3.2631946479816434,6.621767082255618e-06,True
barcode_mean_len,high,abs,20.0,0.6,40,10,4.472100000000001,0.01731855727156732,0,0,1.0,0.0,1.0,1.0,6.538314816033479e-07,2.845532528559367,2.983708843005717,6.1159669901964865e-06,True
